EstimateRequestedDate,ProgramSourceDescription
2/25/2021,Google Adwords - Verified
3/22/2021,DM - OAK
2/22/2021,Referral
3/10/2021,DM - MAPLE
4/12/2021,DM - OAK
3/26/2021,DM - OAK
4/6/2021,DM - OAK
4/8/2021,DM - OAK
3/25/2021,DM - ELM
4/7/2021,DM - OAK
4/16/2021,Home Advisor
3/30/2021,Referral
3/22/2021,Google Adwords - Verified
3/23/2021,DM - OAK
4/16/2021,Referral
4/12/2021,Cross Selling GLF/GPS
3/12/2021,Cross Selling GLF/GPS
5/3/2021,Referral
4/9/2021,DM - OAK
3/23/2021,DM - MAPLE
4/29/2021,Google Adwords - Verified
3/31/2021,DM - MAPLE
4/29/2021,Lawn Sign
3/29/2021,Lawn Sign
3/23/2021,Referral
2/24/2021,DM - MAPLE
4/8/2021,DM - OAK
3/27/2021,Referral
4/8/2021,DM - OAK
4/29/2021,Google
3/15/2021,DM - MAPLE
4/29/2021,Google
3/8/2021,DM - MAPLE
4/6/2021,DM - WALNUT
3/1/2021,DM - MAPLE
3/24/2021,Google
3/13/2021,Home Advisor
5/4/2021,Email
4/13/2021,Referral
3/29/2021,Email
4/16/2021,Google
5/3/2021,Google
4/5/2021,Referral
3/22/2021,Referral
3/12/2021,Email
3/5/2021,Home Advisor
4/7/2021,Google
3/3/2021,Cross Selling GLF/GPS
4/6/2021,DM - WALNUT
3/31/2021,Google
3/12/2021,DM - MAPLE
5/6/2021,Google
5/4/2021,Google
3/10/2021,DM - MAPLE
4/1/2021,DM - OAK
4/17/2021,Home Advisor
4/22/2021,Email
3/15/2021,Google
3/23/2021,Google
4/9/2021,DM - OAK
3/17/2021,DM - MAPLE
3/12/2021,Google
3/31/2021,Referral
3/29/2021,Google
3/11/2021,Angi
4/7/2021,DM - OAK
3/11/2021,DM - MAPLE
4/14/2021,Google
3/11/2021,DM - MAPLE
3/11/2021,Google
3/6/2021,Yelp
4/22/2021,Google
3/22/2021,Referral
5/5/2021,DM - OAK
3/4/2021,Google
4/20/2021,Next Door
5/3/2021,Referral
3/23/2021,DM - OAK
4/26/2021,DM - OAK
3/17/2021,Email
3/19/2021,DM - MAPLE
3/30/2021,Truck
3/22/2021,DM - MAPLE
4/12/2021,Referral
4/29/2021,Google
4/3/2021,DM - OAK
3/1/2021,Referral
4/9/2021,DM - OAK
3/5/2021,DM - MAPLE
4/14/2021,Facebook
3/10/2021,Email
3/25/2021,DM - OAK
4/20/2021,Lawn Sign
3/23/2021,DM - MAPLE
2/23/2021,DM - MAPLE
3/1/2021,DM - MAPLE
4/13/2021,Google
4/6/2021,Truck
5/3/2021,Google
5/10/2021,DM - WALNUT
4/20/2021,Facebook
3/25/2021,DM - OAK
2/25/2021,DM - MAPLE
3/11/2021,Google Adwords - Verified
4/12/2021,Home Advisor
4/19/2021,Home Advisor
4/9/2021,Facebook
4/12/2021,Google
3/5/2021,DM - MAPLE
4/26/2021,DM - OAK
3/20/2021,Google
3/25/2021,DM - OAK
4/8/2021,Google
4/14/2021,Referral
3/20/2021,Google
3/26/2021,Google Adwords - Verified
3/15/2021,DM - MAPLE
3/31/2021,DM - MAPLE
4/19/2021,Referral
3/22/2021,Email
3/11/2021,Home Advisor
3/31/2021,Facebook
4/29/2021,Referral
3/31/2021,DM - OAK
4/29/2021,Facebook
3/23/2021,DM - OAK
4/27/2021,Referral
3/3/2021,Home Advisor
5/7/2021,Google
3/23/2021,DM - OAK
4/13/2021,DM - OAK
3/29/2021,Google Adwords - Verified
4/1/2021,Facebook
4/17/2021,Google Adwords - Verified
3/30/2021,Google Adwords - Verified
3/29/2021,Truck
3/31/2021,Facebook
4/7/2021,DM - OAK
4/3/2021,Google
4/26/2021,Facebook
4/9/2021,DM - OAK
3/17/2021,DM - MAPLE
4/8/2021,Direct Mail
3/4/2021,DM - MAPLE
5/4/2021,Google
5/13/2021,Referral
4/8/2021,Facebook
3/23/2021,DM - OAK
3/15/2021,Email
3/23/2021,DM - OAK
4/5/2021,DM - ELM
4/13/2021,DM - OAK
4/26/2021,Home Advisor
4/20/2021,Angi
3/18/2021,Facebook
3/22/2021,DM - OAK
3/10/2021,DM - MAPLE
3/8/2021,DM - MAPLE
2/22/2021,DM - MAPLE
4/3/2021,Google
4/9/2021,Facebook
4/30/2021,Google Adwords - Verified
3/24/2021,DM - MAPLE
3/8/2021,DM - MAPLE
3/24/2021,DM - WALNUT
4/5/2021,DM - OAK
4/16/2021,DM - OAK
3/11/2021,Google Adwords - Verified
4/20/2021,Google
4/14/2021,Referral
3/23/2021,DM - OAK
3/22/2021,DM - OAK
3/23/2021,DM - WALNUT
4/24/2021,Facebook
3/23/2021,DM - OAK
3/24/2021,Google
5/12/2021,Home Advisor
4/9/2021,Referral
3/3/2021,Google
3/15/2021,DM - MAPLE
3/11/2021,Referral
5/4/2021,Cross Selling GLF/GPS
3/23/2021,Direct Mail
3/29/2021,Email
3/31/2021,Facebook
3/25/2021,Referral
3/19/2021,Referral
3/12/2021,Google
4/3/2021,Truck
3/12/2021,DM - MAPLE
3/18/2021,Email
3/15/2021,Google
4/28/2021,Home Advisor
3/11/2021,Google
4/9/2021,Google Adwords - Verified
4/1/2021,Home Advisor
3/19/2021,Email
3/26/2021,Google
5/17/2021,Referral
3/11/2021,Google
4/2/2021,Referral
4/12/2021,Google
3/30/2021,Google Adwords - Verified
3/23/2021,Facebook
4/12/2021,Google
3/9/2021,Home Advisor
4/20/2021,Google
4/13/2021,Facebook
3/29/2021,Direct Mail
3/22/2021,DM - MAPLE
3/15/2021,Facebook
3/23/2021,DM - OAK
4/6/2021,DM - OAK
4/21/2021,Referral
4/6/2021,DM - OAK
2/23/2021,DM - MAPLE
3/25/2021,Lawn Sign
4/5/2021,DM - OAK
3/10/2021,Home Advisor
4/1/2021,Facebook
5/3/2021,Home Advisor
4/3/2021,Google
4/1/2021,Home Advisor
3/19/2021,Home Advisor
2/22/2021,Angi
4/20/2021,Google Adwords - Verified
4/19/2021,DM - OAK
5/3/2021,DM - OAK
4/8/2021,DM - OAK
5/3/2021,Home Advisor
4/6/2021,DM - OAK
4/1/2021,Home Advisor
5/5/2021,Google
4/15/2021,Facebook
3/22/2021,DM - MAPLE
3/15/2021,Email
3/9/2021,Home Advisor
3/22/2021,DM - OAK
5/3/2021,Home Advisor
4/6/2021,DM - OAK
3/16/2021,Referral
3/16/2021,DM - MAPLE
5/17/2021,Angi
4/12/2021,Home Advisor
3/1/2021,DM - MAPLE
3/29/2021,DM - OAK
4/16/2021,DM - OAK
4/23/2021,Google
3/25/2021,DM - OAK
3/23/2021,DM - ELM
3/24/2021,DM - OAK
4/1/2021,DM - OAK
3/23/2021,Lawn Sign
3/15/2021,Google
5/11/2021,DM - OAK
4/1/2021,Home Advisor
4/15/2021,Home Advisor
3/8/2021,Referral
4/20/2021,Home Advisor
4/1/2021,Email
5/3/2021,Referral
4/9/2021,DM - OAK
4/12/2021,Referral
3/18/2021,Referral
3/10/2021,DM - MAPLE
5/7/2021,Referral
3/1/2021,DM - MAPLE
3/9/2021,DM - MAPLE
3/11/2021,Referral
3/15/2021,DM - MAPLE
4/6/2021,DM - OAK
3/29/2021,Email
4/13/2021,DM - OAK
4/22/2021,Referral
3/5/2021,Referral
3/9/2021,DM - MAPLE
5/14/2021,Referral
3/9/2021,DM - MAPLE
3/1/2021,Email
3/30/2021,Referral
5/8/2021,DM - MAPLE
4/6/2021,DM - OAK
5/17/2021,Referral
3/15/2021,DM - MAPLE
3/5/2021,Google Adwords - Verified
3/30/2021,DM - WALNUT
4/15/2021,Referral
3/29/2021,Google
4/10/2021,DM - MAPLE
3/27/2021,DM - OAK
4/6/2021,Google
5/8/2021,Referral
3/9/2021,Email
3/10/2021,Referral
3/22/2021,Referral
3/23/2021,DM - OAK
3/22/2021,Lawn Sign
3/27/2021,DM - OAK
4/5/2021,DM - OAK
3/31/2021,Google Adwords - Verified
3/23/2021,DM - ELM
3/22/2021,Referral
4/15/2021,Cross Selling GLF/GPS
3/25/2021,DM - OAK
3/23/2021,DM - OAK
4/1/2021,Referral
3/22/2021,DM - MAPLE
5/13/2021,Referral
4/7/2021,DM - OAK
3/24/2021,DM - OAK
4/26/2021,Google
4/13/2021,Direct Mail
3/29/2021,DM - OAK
4/5/2021,Referral
3/31/2021,Cross Selling GLF/GPS
3/22/2021,DM - OAK
3/5/2021,DM - MAPLE
4/9/2021,Home Advisor
4/8/2021,Home Advisor
4/9/2021,Google
4/5/2021,DM - OAK
4/17/2021,Google
3/12/2021,Referral
4/30/2021,Referral
4/3/2021,Referral
4/19/2021,DM - OAK
4/13/2021,DM - OAK
3/9/2021,Referral
2/22/2021,Angi
2/23/2021,DM - MAPLE
4/16/2021,Google Adwords - Verified
3/11/2021,DM - MAPLE
4/2/2021,Google
4/14/2021,Google
2/26/2021,DM - MAPLE
3/12/2021,Email
4/6/2021,DM - OAK
2/24/2021,DM - MAPLE
4/29/2021,Truck
5/4/2021,Google
3/8/2021,Home Advisor
3/15/2021,Google
2/27/2021,DM - MAPLE
3/30/2021,Google Adwords - Verified
4/26/2021,DM - OAK
3/15/2021,Google
4/8/2021,DM - OAK
3/23/2021,DM - ELM
4/22/2021,Referral
4/12/2021,DM - OAK
4/21/2021,Google
5/4/2021,Email
4/19/2021,Referral
3/17/2021,Google Adwords - Verified
4/19/2021,DM - OAK
4/26/2021,Referral
3/18/2021,Referral
3/30/2021,Google Adwords - Verified
4/28/2021,Referral
3/4/2021,Google
3/22/2021,Referral
4/2/2021,Referral
4/2/2021,Referral
5/13/2021,DM - OAK
3/23/2021,DM - WALNUT
3/10/2021,Email
3/24/2021,DM - OAK
3/29/2021,Referral
3/11/2021,Referral
4/19/2021,Referral
3/15/2021,Referral
3/26/2021,DM - OAK
3/29/2021,Google
4/9/2021,Direct Mail
3/2/2021,DM - MAPLE
3/10/2021,DM - MAPLE
3/19/2021,Google
3/29/2021,DM - OAK
4/8/2021,DM - OAK
3/22/2021,Google
4/6/2021,DM - OAK
4/14/2021,Next Door
3/24/2021,Referral
3/11/2021,DM - MAPLE
2/25/2021,Referral
3/15/2021,DM - MAPLE
4/6/2021,Referral
3/3/2021,DM - MAPLE
4/16/2021,DM - OAK
4/14/2021,DM - OAK
3/9/2021,DM - MAPLE
3/17/2021,Referral
4/29/2021,Referral
4/7/2021,Facebook
2/19/2021,Referral
3/30/2021,Cross Selling GLF/GPS
4/5/2021,Referral
4/12/2021,Email
3/17/2021,DM - MAPLE
3/11/2021,Google
4/3/2021,DM - OAK
3/31/2021,Referral
3/30/2021,Email
4/1/2021,Referral
3/24/2021,DM - MAPLE
3/22/2021,Email
5/6/2021,Referral
5/5/2021,Referral
4/15/2021,DM - OAK
3/11/2021,Google
3/19/2021,Home Advisor
2/25/2021,Referral
4/20/2021,Email
3/23/2021,DM - OAK
4/26/2021,Referral
5/3/2021,Email
3/6/2021,Home Advisor
4/13/2021,DM - OAK
3/29/2021,Referral
2/24/2021,DM - MAPLE
4/5/2021,DM - OAK
4/12/2021,Angi
3/13/2021,Facebook
3/16/2021,Google
4/5/2021,DM - OAK
4/8/2021,DM - OAK
4/5/2021,DM - OAK
3/6/2021,Referral
4/13/2021,Referral
3/19/2021,DM - OAK
3/26/2021,Cross Selling GLF/GPS
3/27/2021,DM - OAK
3/23/2021,Referral
5/12/2021,Google
3/24/2021,Google
3/5/2021,DM - MAPLE
4/13/2021,Referral
4/7/2021,DM - OAK
3/22/2021,DM - OAK
3/25/2021,DM - OAK
3/22/2021,Lawn Sign
3/25/2021,Referral
4/15/2021,DM - OAK
5/4/2021,Lawn Sign
4/27/2021,Referral
3/12/2021,Google
3/25/2021,DM - ELM
3/30/2021,DM - MAPLE
3/4/2021,DM - MAPLE
3/11/2021,Email
4/5/2021,DM - OAK
3/10/2021,Email
4/6/2021,DM - OAK
3/25/2021,Google
4/9/2021,DM - OAK
5/6/2021,Google Adwords - Verified
3/22/2021,Facebook
4/14/2021,Referral
4/5/2021,Referral
4/2/2021,Truck
4/6/2021,DM - OAK
3/8/2021,Lawn Sign
3/17/2021,Google
3/10/2021,DM - MAPLE
4/5/2021,DM - OAK
2/23/2021,DM - MAPLE
3/8/2021,Facebook
3/23/2021,Home Advisor
3/31/2021,Referral
3/11/2021,DM - MAPLE
3/22/2021,Lawn Sign
3/18/2021,DM - MAPLE
3/29/2021,DM - OAK
3/12/2021,DM - MAPLE
3/19/2021,DM - MAPLE
5/5/2021,Google Adwords - Verified
3/11/2021,DM - MAPLE
4/6/2021,Lawn Sign
3/26/2021,Google
2/22/2021,Referral
4/22/2021,Lawn Sign
4/1/2021,Google Adwords - Verified
4/9/2021,Referral
4/22/2021,Google
3/8/2021,Facebook
3/19/2021,Google
3/26/2021,Referral
4/7/2021,DM - OAK
3/22/2021,Home Advisor
3/1/2021,Email
4/22/2021,Google
5/15/2021,Home Advisor
3/1/2021,DM - MAPLE
3/30/2021,Email
3/8/2021,Referral
4/9/2021,Google
4/13/2021,Home Advisor
3/1/2021,Facebook
3/30/2021,Email
2/23/2021,Home Advisor
4/14/2021,Google Adwords - Verified
3/13/2021,DM - MAPLE
3/23/2021,DM - OAK
4/16/2021,DM - OAK
3/15/2021,Facebook
3/13/2021,Google
5/17/2021,Google
4/19/2021,Google
4/1/2021,DM - MAPLE
3/23/2021,Truck
4/12/2021,Google
5/13/2021,Home Advisor
2/26/2021,Home Advisor
4/7/2021,DM - OAK
5/7/2021,Home Advisor
4/15/2021,DM - OAK
3/16/2021,Referral
3/22/2021,DM - OAK
4/7/2021,Google
4/6/2021,DM - OAK
4/10/2021,DM - OAK
3/12/2021,Google
4/1/2021,Google
3/22/2021,DM - OAK
4/19/2021,Email
3/18/2021,Angi
3/4/2021,DM - MAPLE
4/5/2021,DM - OAK
4/14/2021,DM - OAK
3/29/2021,Referral
3/11/2021,Google Adwords - Verified
5/5/2021,Facebook
5/3/2021,Google
4/12/2021,Referral
3/23/2021,DM - OAK
3/30/2021,Google Adwords - Verified
4/2/2021,Facebook
3/22/2021,DM - MAPLE
3/20/2021,Home Advisor
3/22/2021,Google
4/28/2021,Referral
3/15/2021,Home Advisor
4/15/2021,Facebook
3/22/2021,Home Advisor
4/1/2021,Referral
4/6/2021,DM - OAK
3/5/2021,DM - MAPLE
4/14/2021,Referral
3/23/2021,Google
3/22/2021,DM - ELM
4/23/2021,DM - OAK
4/20/2021,Google Adwords - Verified
3/17/2021,Google
4/22/2021,Home Advisor
3/23/2021,DM - OAK
4/7/2021,Google
2/22/2021,DM - MAPLE
2/24/2021,DM - MAPLE
3/3/2021,Angi
3/29/2021,Google
3/8/2021,Home Advisor
4/15/2021,Referral
4/16/2021,Home Advisor
4/7/2021,DM - OAK
4/16/2021,DM - OAK
5/17/2021,Facebook
3/20/2021,Truck
4/5/2021,Google
3/15/2021,Email
4/9/2021,DM - WALNUT
4/16/2021,Home Advisor
5/7/2021,Home Advisor
3/16/2021,Google
2/24/2021,DM - MAPLE
2/22/2021,DM - MAPLE
4/8/2021,Referral
3/29/2021,DM - MAPLE
4/10/2021,DM - WALNUT
4/14/2021,Google
4/12/2021,Home Advisor
4/5/2021,DM - OAK
4/21/2021,Google
4/8/2021,DM - OAK
3/13/2021,Facebook
4/12/2021,Referral
3/23/2021,Referral
3/29/2021,Referral
3/22/2021,DM - OAK
4/20/2021,Google Adwords - Verified
4/2/2021,DM - MAPLE
4/23/2021,Home Advisor
4/14/2021,Home Advisor
4/1/2021,Home Advisor
4/19/2021,Email
4/5/2021,Google
4/24/2021,Lawn Sign
3/22/2021,Google
3/23/2021,DM - OAK
4/8/2021,DM - OAK
4/29/2021,Google
4/8/2021,Google
3/2/2021,Angi
4/13/2021,Referral
5/3/2021,Lawn Sign
3/29/2021,Google
4/7/2021,DM - OAK
3/12/2021,Angi
4/30/2021,Google
4/28/2021,DM - OAK
3/16/2021,Email
3/29/2021,DM - OAK
4/5/2021,DM - OAK
4/5/2021,DM - OAK
3/17/2021,Referral
4/14/2021,DM - OAK
3/31/2021,Referral
2/23/2021,Referral
3/22/2021,DM - OAK
4/14/2021,Google
3/12/2021,Angi
4/2/2021,Google
3/8/2021,DM - MAPLE
3/9/2021,Google Adwords - Verified
4/27/2021,Referral
3/13/2021,Google Adwords - Verified
3/27/2021,DM - OAK
4/27/2021,DM - OAK
3/5/2021,DM - MAPLE
4/1/2021,DM - OAK
5/4/2021,Google
4/1/2021,Email
4/22/2021,Email
3/11/2021,Angi
4/2/2021,DM - OAK
3/30/2021,Email
4/19/2021,DM - OAK
3/10/2021,Google
3/15/2021,Google
3/25/2021,DM - OAK
4/2/2021,Google
4/6/2021,Referral
4/16/2021,DM - OAK
4/8/2021,DM - OAK
4/5/2021,DM - OAK
3/27/2021,Referral
3/29/2021,Referral
4/16/2021,DM - OAK
4/13/2021,DM - OAK
5/1/2021,Google
3/11/2021,Referral
3/23/2021,DM - OAK
3/24/2021,DM - OAK
4/7/2021,Referral
3/26/2021,DM - MAPLE
4/15/2021,DM - ELM
4/5/2021,DM - OAK
3/31/2021,Referral
4/6/2021,DM - OAK
3/19/2021,Angi
4/2/2021,Referral
3/24/2021,Lawn Sign
4/29/2021,DM - OAK
3/31/2021,DM - MAPLE
4/5/2021,DM - OAK
3/8/2021,DM - MAPLE
4/16/2021,Lawn Sign
3/29/2021,DM - ELM
4/6/2021,Referral
4/12/2021,Referral
3/23/2021,DM - OAK
3/12/2021,Referral
3/30/2021,DM - OAK
3/26/2021,Direct Mail
3/30/2021,Google
3/11/2021,Referral
3/23/2021,DM - OAK
3/24/2021,DM - OAK
4/13/2021,DM - OAK
3/22/2021,DM - OAK
4/12/2021,DM - OAK
4/12/2021,DM - WALNUT
4/21/2021,Referral
4/8/2021,Google
4/19/2021,Email
3/23/2021,DM - OAK
3/15/2021,Email
3/30/2021,Email
4/12/2021,Google Adwords - Verified
3/16/2021,Email
5/12/2021,Referral
3/13/2021,Referral
3/25/2021,Google Adwords - Verified
5/5/2021,Google
4/27/2021,DM - OAK
3/12/2021,Referral
5/11/2021,Referral
3/16/2021,Lawn Sign
4/8/2021,Referral
3/22/2021,Referral
4/22/2021,Home Advisor
2/15/2021,Google
3/31/2021,Direct Mail
4/9/2021,DM - OAK
4/28/2021,Truck
4/1/2021,Google
5/4/2021,Truck
4/5/2021,Google Adwords - Verified
3/25/2021,Referral
4/15/2021,Referral
3/12/2021,Referral
4/15/2021,DM - OAK
3/24/2021,DM - OAK
4/30/2021,Referral
3/24/2021,DM - OAK
5/17/2021,Truck
4/20/2021,Email
3/25/2021,Google
3/3/2021,DM - MAPLE
4/12/2021,DM - OAK
3/9/2021,DM - MAPLE
4/12/2021,DM - OAK
3/27/2021,DM - OAK
3/22/2021,Referral
3/8/2021,DM - MAPLE
3/25/2021,DM - OAK
4/19/2021,Home Advisor
4/15/2021,DM - ELM
3/11/2021,DM - MAPLE
3/29/2021,DM - OAK
3/22/2021,Referral
5/17/2021,Google Adwords - Verified
4/15/2021,DM - OAK
4/24/2021,Google
3/18/2021,Angi
4/5/2021,DM - OAK
4/19/2021,Referral
4/15/2021,Google Adwords - Verified
3/15/2021,Referral
3/13/2021,Truck
4/23/2021,Google
3/1/2021,Email
3/15/2021,Google
3/22/2021,Referral
3/25/2021,DM - OAK
3/2/2021,Cross Selling GLF/GPS
4/7/2021,Google
4/17/2021,Facebook
4/12/2021,DM - OAK
4/12/2021,Google
4/19/2021,Email
3/29/2021,DM - MAPLE
4/7/2021,Google
4/9/2021,DM - OAK
4/19/2021,Referral
3/29/2021,Referral
3/19/2021,Referral
4/5/2021,DM - OAK
3/23/2021,Google Adwords - Verified
4/23/2021,DM - ELM
5/5/2021,Google
4/28/2021,Google Adwords - Verified
3/16/2021,DM - MAPLE
2/24/2021,DM - MAPLE
3/8/2021,DM - MAPLE
4/19/2021,DM - OAK
2/24/2021,DM - MAPLE
3/24/2021,Referral
4/29/2021,Referral
4/13/2021,DM - OAK
3/11/2021,Truck
3/12/2021,DM - MAPLE
4/5/2021,Referral
4/23/2021,Google Adwords - Verified
4/5/2021,DM - OAK
3/30/2021,Google
4/16/2021,Google Adwords - Verified
3/24/2021,Truck
3/15/2021,DM - MAPLE
4/3/2021,DM - OAK
3/25/2021,Lawn Sign
3/26/2021,Facebook
4/5/2021,Google Adwords - Verified
4/7/2021,Google
3/4/2021,Facebook
4/21/2021,Referral
4/5/2021,DM - WALNUT
4/28/2021,Direct Mail
4/29/2021,Google Adwords - Verified
5/3/2021,Google
3/21/2021,DM - OAK
3/8/2021,DM - MAPLE
2/23/2021,DM - MAPLE
3/23/2021,Referral
5/8/2021,Angi
4/20/2021,DM - WALNUT
4/26/2021,Google Adwords - Verified
4/10/2021,Google Adwords - Verified
4/5/2021,DM - OAK
3/16/2021,Facebook
4/12/2021,Referral
4/1/2021,DM - ELM
4/5/2021,DM - OAK
4/1/2021,DM - MAPLE
3/31/2021,DM - ELM
3/26/2021,Truck
4/8/2021,Google
4/1/2021,Google
3/1/2021,Email
3/22/2021,DM - OAK
4/8/2021,DM - OAK
3/29/2021,DM - OAK
4/20/2021,Referral
4/5/2021,DM - OAK
3/11/2021,Referral
4/15/2021,Referral
4/2/2021,Google
4/23/2021,Google
4/10/2021,Email
3/23/2021,DM - MAPLE
3/5/2021,DM - MAPLE
4/7/2021,Truck
3/23/2021,DM - OAK
4/5/2021,DM - OAK
2/25/2021,DM - MAPLE
4/22/2021,Google
2/26/2021,Home Advisor
4/15/2021,DM - OAK
4/3/2021,DM - OAK
3/17/2021,DM - MAPLE
4/8/2021,Google
3/10/2021,Angi
3/1/2021,Email
3/26/2021,DM - OAK
4/3/2021,Cross Selling GLF/GPS
3/16/2021,Referral
4/1/2021,DM - OAK
3/31/2021,Google
3/27/2021,DM - OAK
4/12/2021,Facebook
4/26/2021,DM - OAK
5/14/2021,Truck
3/10/2021,DM - MAPLE
4/27/2021,Google
4/5/2021,DM - OAK
4/7/2021,DM - OAK
3/22/2021,DM - OAK
4/6/2021,DM - OAK
3/22/2021,DM - OAK
5/17/2021,Google
4/26/2021,Google
3/12/2021,Google
4/6/2021,DM - OAK
4/13/2021,DM - MAPLE
2/15/2021,Email
4/24/2021,Google
4/28/2021,Google
2/24/2021,Email
3/16/2021,Home Advisor
5/17/2021,Referral
4/1/2021,Home Advisor
4/1/2021,Home Advisor
3/15/2021,Google
3/24/2021,DM - OAK
5/6/2021,Google
3/22/2021,DM - OAK
3/18/2021,Google Adwords - Verified
3/29/2021,DM - OAK
4/21/2021,Referral
4/1/2021,Google
4/19/2021,Home Advisor
4/1/2021,Home Advisor
4/20/2021,Email
4/21/2021,DM - MAPLE
5/3/2021,Facebook
3/25/2021,Referral
3/12/2021,Email
4/5/2021,Angi
4/19/2021,DM - OAK
3/13/2021,DM - MAPLE
4/2/2021,Referral
4/5/2021,DM - OAK
4/28/2021,Referral
3/12/2021,Home Advisor
