EstimateRequestedDate,ProgramSourceDescription
3/18/2025,DM - OAK
4/10/2025,Facebook
3/26/2025,Text Campaign
3/6/2025,Facebook
4/28/2025,Text Campaign
4/30/2025,Google
4/14/2025,Next Door
4/29/2025,Text Campaign
3/11/2025,Google
4/4/2025,Facebook
4/9/2025,Truck
4/18/2025,Facebook
3/3/2025,DM - BIRCH
4/9/2025,Facebook
3/11/2025,DM - WALNUT
3/26/2025,Facebook
4/29/2025,Facebook
3/26/2025,Referral
2/21/2025,Google
4/10/2025,Direct Mail
4/2/2025,DM - 2 Free Apps QJ5K2P
5/12/2025,Google
5/1/2025,Referral
3/17/2025,Text Campaign
4/25/2025,Facebook
4/9/2025,DM - BIRCH
4/10/2025,Truck
3/20/2025,Lawn Sign
3/27/2025,DM - OAK
3/27/2025,Facebook
3/19/2025,DM - WALNUT
4/11/2025,Email
5/6/2025,Lawn Sign
3/5/2025,Text Campaign
3/3/2025,DM - BIRCH
4/11/2025,Facebook
3/24/2025,Email
2/28/2025,Referral
5/15/2025,Referral
4/24/2025,Angi
3/29/2025,DM - BIRCH
4/8/2025,Angi
4/23/2025,Facebook
4/24/2025,Referral
4/29/2025,Facebook
3/31/2025,Google
2/21/2025,Email
3/13/2025,Referral
4/22/2025,Lawn Sign
4/30/2025,DM - BIRCH
4/22/2025,Email
4/7/2025,Facebook
5/5/2025,Facebook
2/18/2025,Google
3/20/2025,Next Door
3/24/2025,Referral
2/24/2025,Text Campaign
4/8/2025,Google
2/27/2025,Referral
3/7/2025,Google
4/30/2025,Google
4/30/2025,Direct Mail
5/2/2025,Referral
3/11/2025,Referral
4/21/2025,Home Advisor
3/3/2025,Google
4/29/2025,Lawn Sign
4/14/2025,DM - CHESTNUT
3/20/2025,Email
4/2/2025,DM - OAK
4/10/2025,Email
3/12/2025,Text Campaign
4/1/2025,Referral
4/10/2025,Google
5/12/2025,Direct Mail
5/2/2025,Google
3/10/2025,Cross Selling GLF/GPS
3/31/2025,Google
2/18/2025,DM - BIRCH
2/19/2025,Google
3/14/2025,Google
4/25/2025,Google
3/10/2025,Email
5/2/2025,Google
4/30/2025,Google
4/7/2025,Lawn Sign
4/12/2025,Google
4/3/2025,DM - MAPLE
3/17/2025,DM - OAK
5/9/2025,Angi
3/6/2025,Billboard
4/2/2025,Direct Mail
3/14/2025,Lawn Sign
4/28/2025,Text Campaign
4/7/2025,DM - 1st App 50% X9T4MZ
4/26/2025,Email
4/28/2025,Google
3/7/2025,DM - BIRCH
3/21/2025,Email
4/27/2025,Facebook
2/26/2025,Email
2/26/2025,Referral
3/5/2025,Lawn Sign
3/22/2025,Next Door
3/2/2025,Facebook
4/18/2025,Truck
3/3/2025,Facebook
3/24/2025,DM - SYCAMORE
3/10/2025,Text Campaign
4/22/2025,Direct Mail
3/19/2025,DM - OAK
4/15/2025,Facebook
4/21/2025,Email
4/24/2025,Facebook
4/1/2025,Referral
3/10/2025,Google
4/28/2025,Text Campaign
4/21/2025,DM - OAK
4/9/2025,Text Campaign
4/29/2025,Google
4/28/2025,Facebook
3/11/2025,Google
4/7/2025,DM - 2 Free Apps QJ5K2P
4/18/2025,Google
3/12/2025,Google
3/13/2025,DM - BIRCH
4/15/2025,Facebook
4/15/2025,Lawn Sign
3/7/2025,DM - BIRCH
4/7/2025,Facebook
3/16/2025,DM - OAK
3/11/2025,DM - CHESTNUT
3/12/2025,DM - BIRCH
3/29/2025,Google
3/31/2025,DM - OAK
4/9/2025,Email
3/3/2025,Angi
3/22/2025,Next Door
3/17/2025,Facebook
3/19/2025,Facebook
3/27/2025,Text Campaign
3/25/2025,Text Campaign
3/28/2025,Angi
3/30/2025,Facebook
3/30/2025,Direct Mail
3/17/2025,Facebook
2/25/2025,Home Advisor
4/18/2025,Text Campaign
3/13/2025,Facebook
3/18/2025,Text Campaign
2/24/2025,Billboard
3/26/2025,Text Campaign
4/19/2025,Google
3/26/2025,Text Campaign
4/18/2025,Facebook
3/25/2025,Text Campaign
2/27/2025,Angi
3/20/2025,Angi
3/30/2025,Facebook
4/19/2025,Facebook
3/26/2025,Text Campaign
3/22/2025,Facebook
4/9/2025,Email
3/18/2025,Referral
3/13/2025,DM - BIRCH
3/5/2025,Facebook
3/25/2025,Text Campaign
4/1/2025,Facebook
2/24/2025,Referral
3/13/2025,Facebook
3/21/2025,DM - OAK
4/20/2025,Facebook
2/26/2025,Text Campaign
3/13/2025,DM - OAK
3/19/2025,Billboard
2/27/2025,Facebook
4/14/2025,Facebook
3/16/2025,DM - OAK
3/25/2025,Text Campaign
3/6/2025,Email
5/12/2025,Lawn Sign
3/18/2025,Angi
3/17/2025,Billboard
3/24/2025,Text Campaign
5/5/2025,Facebook
3/17/2025,Facebook
3/17/2025,Text Campaign
4/21/2025,Facebook
3/25/2025,Billboard
3/14/2025,Facebook
4/2/2025,Facebook
3/13/2025,Google
2/19/2025,Google
2/24/2025,Email
2/20/2025,DM - BIRCH
3/31/2025,DM - MAPLE
3/10/2025,Angi
2/28/2025,Angi
4/23/2025,DM - BIRCH
4/9/2025,Facebook
3/26/2025,Text Campaign
5/17/2025,Facebook
2/25/2025,Email
5/1/2025,Facebook
3/17/2025,Facebook
3/20/2025,DM - ELM
2/28/2025,DM - BIRCH
4/19/2025,Facebook
2/28/2025,Email
3/17/2025,Text Campaign
4/1/2025,Google
3/26/2025,Text Campaign
3/17/2025,Facebook
2/26/2025,Text Campaign
3/13/2025,DM - WALNUT
2/26/2025,Text Campaign
3/12/2025,Direct Mail
3/24/2025,Google
3/11/2025,Facebook
3/17/2025,Home Advisor
2/17/2025,Google
4/29/2025,Text Campaign
3/17/2025,Facebook
2/17/2025,Home Advisor
3/18/2025,Facebook
4/2/2025,Facebook
3/7/2025,Email
4/19/2025,Text Campaign
4/21/2025,Angi
3/26/2025,Text Campaign
3/14/2025,Facebook
3/26/2025,Text Campaign
3/12/2025,Next Door
4/1/2025,Facebook
3/19/2025,DM - CHESTNUT
3/14/2025,Facebook
2/25/2025,Text Campaign
3/5/2025,Text Campaign
3/14/2025,Facebook
4/15/2025,Facebook
3/10/2025,DM - OAK
3/26/2025,Home Advisor
4/7/2025,Facebook
3/25/2025,Text Campaign
3/18/2025,Facebook
2/27/2025,Referral
2/26/2025,Direct Mail
3/14/2025,DM - BIRCH
2/20/2025,Facebook
3/25/2025,Text Campaign
4/10/2025,Home Advisor
3/17/2025,Facebook
3/18/2025,DM - OAK
3/20/2025,DM - OAK
3/12/2025,Email
4/2/2025,Facebook
3/28/2025,Angi
3/17/2025,Google
3/7/2025,Text Campaign
4/1/2025,Facebook
3/2/2025,Text Campaign
3/17/2025,Facebook
4/17/2025,Facebook
3/28/2025,Text Campaign
4/2/2025,Facebook
3/30/2025,Facebook
2/25/2025,Text Campaign
4/24/2025,Google
3/22/2025,DM - OAK
3/7/2025,DM - BIRCH
2/19/2025,Email
3/27/2025,Facebook
3/26/2025,Home Advisor
3/17/2025,Facebook
2/19/2025,Direct Mail
3/4/2025,Email
3/17/2025,DM - OAK
3/11/2025,Google
4/28/2025,Facebook
2/19/2025,Facebook
4/21/2025,Facebook
4/4/2025,Facebook
3/17/2025,Next Door
2/24/2025,Email
3/26/2025,Text Campaign
3/3/2025,Facebook
3/17/2025,Google
3/25/2025,Text Campaign
3/24/2025,Text Campaign
3/26/2025,Text Campaign
2/25/2025,Email
3/31/2025,Referral
4/3/2025,Facebook
2/27/2025,Facebook
3/24/2025,Email
3/10/2025,DM - OAK
3/27/2025,Facebook
3/22/2025,Facebook
3/26/2025,Text Campaign
3/21/2025,DM - OAK
3/17/2025,Direct Mail
3/15/2025,Facebook
3/24/2025,Text Campaign
3/17/2025,DM - OAK
2/19/2025,DM - BIRCH
4/9/2025,DM - BIRCH
4/9/2025,Text Campaign
4/11/2025,Google
3/12/2025,Angi
4/21/2025,Facebook
3/26/2025,Text Campaign
3/8/2025,Facebook
3/8/2025,Google
3/24/2025,Text Campaign
3/17/2025,Facebook
3/13/2025,Facebook
4/17/2025,Facebook
3/28/2025,Angi
4/3/2025,Facebook
3/26/2025,Text Campaign
5/13/2025,Facebook
3/17/2025,Direct Mail
2/17/2025,Next Door
3/18/2025,Google
3/3/2025,Google
4/1/2025,Direct Mail
3/12/2025,Google
2/26/2025,Angi
3/14/2025,Facebook
3/25/2025,Text Campaign
3/11/2025,DM - BIRCH
2/22/2025,Email
4/20/2025,Google
4/20/2025,Text Campaign
3/31/2025,Facebook
2/18/2025,DM - BIRCH
3/9/2025,DM - SYCAMORE
4/21/2025,Google
3/26/2025,Text Campaign
3/18/2025,Text Campaign
3/18/2025,Facebook
3/11/2025,DM - OAK
5/6/2025,Referral
2/16/2025,Email
4/14/2025,Referral
4/13/2025,Referral
3/31/2025,Referral
4/23/2025,Referral
2/20/2025,DM - BIRCH
4/11/2025,DM - OAK
4/17/2025,Google
3/11/2025,DM - OAK
4/23/2025,Truck
4/7/2025,Direct Mail
4/30/2025,Google
5/1/2025,Google
3/25/2025,Facebook
2/25/2025,Facebook
3/10/2025,Referral
3/4/2025,Lawn Sign
4/12/2025,Email
3/12/2025,DM - OAK
3/5/2025,Email
3/11/2025,Referral
3/11/2025,DM - OAK
3/24/2025,Angi
4/1/2025,Referral
3/23/2025,Referral
3/10/2025,Google
5/7/2025,Email
4/29/2025,Referral
3/5/2025,Direct Mail
3/19/2025,Google
2/25/2025,Email
3/12/2025,Facebook
4/24/2025,Google
3/15/2025,YouTube
3/12/2025,Facebook
4/23/2025,Direct Mail
3/26/2025,Text Campaign
3/18/2025,DM - CHESTNUT
3/26/2025,Text Campaign
3/18/2025,Text Campaign
3/27/2025,Text Campaign
4/24/2025,Facebook
4/22/2025,Text Campaign
3/13/2025,Email
5/4/2025,Google
3/20/2025,Email
4/28/2025,Home Advisor
3/3/2025,Email
3/27/2025,Google
4/19/2025,Angi
3/4/2025,Facebook
4/1/2025,Facebook
3/11/2025,Direct Mail
3/8/2025,Facebook
3/10/2025,Angi
3/27/2025,Facebook
2/27/2025,DM - BIRCH
3/11/2025,Lawn Sign
3/17/2025,Facebook
4/2/2025,Angi
4/2/2025,Facebook
3/18/2025,DM - SYCAMORE
4/22/2025,Facebook
3/27/2025,Facebook
3/24/2025,Text Campaign
3/12/2025,Facebook
3/25/2025,Text Campaign
4/15/2025,Email
4/24/2025,Next Door
4/8/2025,Text Campaign
3/22/2025,Facebook
3/11/2025,Facebook
2/26/2025,Email
3/21/2025,Email
4/8/2025,Text Campaign
3/10/2025,Google
3/9/2025,Lawn Sign
3/2/2025,Referral
3/7/2025,Direct Mail
4/21/2025,Facebook
4/18/2025,Facebook
3/27/2025,Angi
3/25/2025,Text Campaign
4/21/2025,Facebook
2/20/2025,Google
3/26/2025,Text Campaign
4/20/2025,Facebook
3/12/2025,Home Advisor
4/9/2025,Text Campaign
5/15/2025,Truck
4/8/2025,Text Campaign
5/16/2025,Facebook
2/17/2025,Angi
3/5/2025,Billboard
3/27/2025,Google
2/18/2025,Direct Mail
3/31/2025,Home Advisor
4/16/2025,Facebook
3/20/2025,Direct Mail
3/9/2025,Direct Mail
3/19/2025,Direct Mail
3/10/2025,DM - OAK
3/24/2025,Text Campaign
3/29/2025,DM - OAK
3/30/2025,Facebook
4/7/2025,Referral
3/17/2025,DM - BIRCH
3/22/2025,Facebook
3/15/2025,Facebook
3/17/2025,Facebook
5/13/2025,Facebook
3/24/2025,Text Campaign
3/24/2025,Angi
4/19/2025,Facebook
3/17/2025,DM - OAK
3/15/2025,Google
3/24/2025,Text Campaign
3/9/2025,Facebook
3/11/2025,DM - SYCAMORE
5/15/2025,Google
3/5/2025,Text Campaign
2/27/2025,Text Campaign
2/25/2025,Facebook
3/22/2025,Google
3/12/2025,Facebook
3/24/2025,Facebook
3/4/2025,Email
3/24/2025,Google
2/27/2025,Google
3/22/2025,Facebook
3/18/2025,Facebook
3/17/2025,Email
3/15/2025,Direct Mail
3/7/2025,Text Campaign
3/17/2025,DM - OAK
2/26/2025,Home Advisor
3/25/2025,Facebook
3/31/2025,DM - MAPLE
3/31/2025,Google
3/24/2025,Text Campaign
2/18/2025,Facebook
3/17/2025,DM - OAK
3/15/2025,Google
4/8/2025,Text Campaign
4/9/2025,Facebook
3/19/2025,DM - ELM
3/5/2025,YouTube
2/17/2025,Referral
4/28/2025,Google
3/25/2025,Text Campaign
3/17/2025,Facebook
3/18/2025,Facebook
3/26/2025,Google
5/5/2025,Text Campaign
3/26/2025,Text Campaign
2/19/2025,Facebook
3/17/2025,Facebook
3/10/2025,Referral
3/26/2025,Text Campaign
3/3/2025,Referral
3/26/2025,Facebook
4/9/2025,Facebook
3/7/2025,Email
3/18/2025,DM - OAK
4/10/2025,Google
3/25/2025,Next Door
4/7/2025,Facebook
3/25/2025,Text Campaign
3/18/2025,Email
3/29/2025,Next Door
3/26/2025,Text Campaign
3/20/2025,Lawn Sign
3/19/2025,DM - OAK
3/12/2025,Google
3/18/2025,DM - OAK
3/17/2025,Text Campaign
3/25/2025,Text Campaign
3/2/2025,Email
3/6/2025,Home Advisor
4/1/2025,Home Advisor
3/31/2025,Google
3/7/2025,Text Campaign
3/20/2025,Angi
3/26/2025,Text Campaign
3/11/2025,DM - ELM
3/17/2025,Direct Mail
3/18/2025,Facebook
4/21/2025,Direct Mail
3/12/2025,Facebook
2/24/2025,Google
4/21/2025,Text Campaign
3/6/2025,Text Campaign
3/24/2025,Text Campaign
3/25/2025,Text Campaign
2/26/2025,Referral
3/26/2025,Text Campaign
4/4/2025,Facebook
3/25/2025,Text Campaign
4/1/2025,Google
4/23/2025,Facebook
3/24/2025,Text Campaign
2/26/2025,Text Campaign
5/10/2025,Home Advisor
3/17/2025,Home Advisor
3/22/2025,Facebook
3/15/2025,Facebook
4/10/2025,Google
3/17/2025,Text Campaign
5/14/2025,Lawn Sign
3/22/2025,Direct Mail
2/22/2025,Google
3/11/2025,DM - BIRCH
2/28/2025,Truck
5/16/2025,Facebook
3/17/2025,Email
3/29/2025,Facebook
3/11/2025,DM - BIRCH
3/24/2025,Next Door
3/19/2025,Direct Mail
4/22/2025,Facebook
3/30/2025,Facebook
3/25/2025,Text Campaign
4/9/2025,Email
3/11/2025,Home Advisor
3/11/2025,DM - BIRCH
3/10/2025,Angi
2/26/2025,Email
3/26/2025,Text Campaign
2/19/2025,Influencer
3/28/2025,Google
3/1/2025,Referral
2/25/2025,Referral
3/17/2025,Facebook
2/18/2025,Facebook
2/19/2025,Facebook
3/16/2025,Facebook
3/25/2025,Text Campaign
3/4/2025,Text Campaign
3/17/2025,Facebook
3/24/2025,Referral
2/20/2025,Google
3/19/2025,Direct Mail
4/24/2025,Facebook
3/13/2025,DM - ELM
2/26/2025,Text Campaign
3/7/2025,Facebook
3/26/2025,Text Campaign
5/15/2025,Facebook
4/10/2025,Facebook
4/12/2025,Facebook
2/28/2025,Text Campaign
4/18/2025,Facebook
2/17/2025,Facebook
4/20/2025,Direct Mail
4/8/2025,Text Campaign
3/17/2025,Facebook
2/24/2025,Angi
3/18/2025,DM - CHESTNUT
3/11/2025,Email
3/15/2025,DM - OAK
4/28/2025,Google
3/10/2025,Email
3/3/2025,Google
3/4/2025,Email
2/24/2025,Google Adwords - Verified
4/3/2025,Facebook
3/17/2025,Home Advisor
3/13/2025,Billboard
4/2/2025,Facebook
4/10/2025,Home Advisor
3/8/2025,DM - BIRCH
3/25/2025,Angi
3/28/2025,Text Campaign
3/3/2025,Facebook
3/26/2025,Text Campaign
4/11/2025,Facebook
4/1/2025,Facebook
4/9/2025,Text Campaign
2/19/2025,Facebook
3/18/2025,Facebook
4/16/2025,Facebook
3/26/2025,Text Campaign
3/10/2025,Direct Mail
2/26/2025,Facebook
3/19/2025,DM - BIRCH
3/26/2025,Text Campaign
3/22/2025,Facebook
3/16/2025,Facebook
3/27/2025,DM - OAK
2/25/2025,Text Campaign
3/24/2025,Google
4/23/2025,Facebook
3/15/2025,Google
3/11/2025,Direct Mail
3/1/2025,Referral
3/17/2025,Facebook
3/10/2025,Google
3/25/2025,Text Campaign
3/22/2025,Home Advisor
3/17/2025,Google
5/15/2025,Next Door
4/3/2025,Facebook
4/16/2025,Angi
3/25/2025,Google
2/26/2025,Facebook
2/28/2025,Facebook
2/17/2025,Referral
3/20/2025,Google
4/15/2025,Facebook
3/2/2025,Facebook
4/17/2025,Text Campaign
3/25/2025,Facebook
2/27/2025,Referral
3/9/2025,Referral
4/7/2025,Facebook
4/30/2025,Email
4/30/2025,Google
4/20/2025,Facebook
4/18/2025,Text Campaign
4/9/2025,DM - 1st App 50% X9T4MZ
4/9/2025,Email
2/25/2025,DM - BIRCH
4/28/2025,Text Campaign
2/27/2025,Text Campaign
3/16/2025,Referral
2/19/2025,DM - MAPLE
4/10/2025,DM - 2 Free Apps QJ5K2P
4/12/2025,Direct Mail
4/18/2025,Google
3/26/2025,Text Campaign
4/1/2025,Referral
3/27/2025,Google
4/23/2025,Email
4/23/2025,Facebook
4/30/2025,Facebook
4/22/2025,Google
3/10/2025,Text Campaign
4/18/2025,Text Campaign
4/7/2025,Direct Mail
3/19/2025,Google
4/7/2025,Google
4/23/2025,Email
3/21/2025,Direct Mail
4/16/2025,Facebook
4/16/2025,Email
4/2/2025,Direct Mail
3/28/2025,Truck
5/3/2025,Home Advisor
4/10/2025,Email
5/1/2025,Text Campaign
2/19/2025,Facebook
5/4/2025,Facebook
4/22/2025,Text Campaign
4/24/2025,Facebook
3/17/2025,DM - OAK
4/3/2025,Email
4/10/2025,Email
4/9/2025,Text Campaign
3/12/2025,Direct Mail
4/7/2025,Google
3/29/2025,DM - CHESTNUT
4/25/2025,Google
4/28/2025,Direct Mail
4/15/2025,Facebook
4/10/2025,Email
4/28/2025,Facebook
5/15/2025,Facebook
3/28/2025,DM - BIRCH
4/11/2025,Email
3/24/2025,Google Adwords - Verified
4/15/2025,Direct Mail
3/1/2025,DM - BIRCH
5/17/2025,Referral
4/14/2025,Home Advisor
4/9/2025,Text Campaign
4/19/2025,Facebook
3/21/2025,DM - BIRCH
3/26/2025,Text Campaign
3/24/2025,Lawn Sign
3/27/2025,Bing
4/18/2025,Text Campaign
4/3/2025,Facebook
4/25/2025,Email
4/22/2025,Google
4/17/2025,Text Campaign
3/17/2025,DM - OAK
3/17/2025,DM - OAK
3/25/2025,Text Campaign
4/28/2025,Email
4/18/2025,Email
4/22/2025,Next Door
3/25/2025,Text Campaign
4/21/2025,Referral
4/18/2025,Angi
4/8/2025,Facebook
3/10/2025,Direct Mail
4/21/2025,Facebook
4/22/2025,Next Door
4/9/2025,Facebook
4/3/2025,Facebook
4/20/2025,Facebook
5/15/2025,Email
4/9/2025,Facebook
4/8/2025,Text Campaign
3/31/2025,Google
3/19/2025,Direct Mail
4/19/2025,Facebook
4/25/2025,Text Campaign
4/25/2025,Text Campaign
4/22/2025,Text Campaign
4/23/2025,Facebook
4/15/2025,Email
4/30/2025,Google
4/25/2025,Text Campaign
4/29/2025,Facebook
4/14/2025,Lawn Sign
4/17/2025,Text Campaign
4/11/2025,Google
4/29/2025,Referral
4/9/2025,Text Campaign
4/22/2025,Facebook
3/12/2025,Google
4/22/2025,Text Campaign
4/23/2025,Direct Mail
4/23/2025,Facebook
4/16/2025,Angi
3/12/2025,Facebook
4/25/2025,Facebook
3/7/2025,Truck
3/21/2025,Google
4/3/2025,Google
4/4/2025,DM - BIRCH
4/11/2025,Google
4/25/2025,Text Campaign
3/29/2025,DM - OAK
4/14/2025,Facebook
3/15/2025,DM - OAK
3/25/2025,Google
4/12/2025,Referral
5/1/2025,Facebook
4/18/2025,Text Campaign
4/8/2025,Facebook
5/5/2025,Angi
4/24/2025,Facebook
5/1/2025,Google
4/7/2025,Direct Mail
4/11/2025,Facebook
4/13/2025,Facebook
4/25/2025,Text Campaign
4/9/2025,Email
3/30/2025,Google
4/2/2025,Google
4/9/2025,Email
5/4/2025,Facebook
3/5/2025,Text Campaign
3/5/2025,Text Campaign
3/10/2025,DM - OAK
3/21/2025,DM - CHESTNUT
4/21/2025,Facebook
4/14/2025,Billboard
3/6/2025,Email
2/27/2025,Text Campaign
3/11/2025,Facebook
4/10/2025,Email
3/25/2025,Text Campaign
3/18/2025,Facebook
3/27/2025,Text Campaign
3/17/2025,DM - BIRCH
2/19/2025,Google
3/13/2025,Referral
3/25/2025,Text Campaign
3/17/2025,DM - BIRCH
3/26/2025,Text Campaign
3/24/2025,Text Campaign
3/17/2025,DM - OAK
4/9/2025,Facebook
3/18/2025,Facebook
4/24/2025,Facebook
4/18/2025,Facebook
3/25/2025,Text Campaign
3/3/2025,Facebook
4/8/2025,Text Campaign
4/1/2025,Google
3/17/2025,Facebook
3/24/2025,Text Campaign
3/1/2025,Google
2/24/2025,Facebook
3/25/2025,Text Campaign
5/7/2025,Facebook
2/27/2025,YouTube
2/21/2025,Email
4/9/2025,Text Campaign
4/21/2025,Facebook
3/24/2025,Facebook
3/12/2025,Facebook
3/19/2025,Facebook
3/24/2025,DM - OAK
3/29/2025,Angi
3/11/2025,DM - BIRCH
3/15/2025,Google
3/25/2025,Text Campaign
4/8/2025,Text Campaign
3/10/2025,DM - OAK
3/18/2025,Facebook
4/22/2025,Google
3/6/2025,Facebook
3/3/2025,Email
3/24/2025,Text Campaign
3/18/2025,Direct Mail
3/14/2025,Direct Mail
3/17/2025,Facebook
3/17/2025,Facebook
3/25/2025,Text Campaign
3/1/2025,DM - BIRCH
3/25/2025,Text Campaign
3/18/2025,Facebook
3/21/2025,Email
4/21/2025,Text Campaign
2/26/2025,DM - BIRCH
4/21/2025,Facebook
3/10/2025,Facebook
3/11/2025,Email
3/11/2025,Facebook
3/25/2025,Text Campaign
2/27/2025,Text Campaign
5/2/2025,Direct Mail
2/28/2025,Direct Mail
3/26/2025,Text Campaign
3/13/2025,Text Campaign
4/9/2025,Text Campaign
4/4/2025,Facebook
3/17/2025,Facebook
2/20/2025,DM - BIRCH
3/11/2025,DM - OAK
3/24/2025,Facebook
2/24/2025,Email
3/11/2025,Referral
4/23/2025,Google
3/26/2025,Text Campaign
4/17/2025,Google
3/25/2025,Text Campaign
3/5/2025,Email
3/27/2025,Text Campaign
3/25/2025,Text Campaign
3/21/2025,DM - OAK
3/10/2025,Email
3/24/2025,Facebook
3/30/2025,Facebook
3/6/2025,Facebook
2/25/2025,Facebook
2/20/2025,Email
4/27/2025,Facebook
5/7/2025,Email
3/17/2025,Google
4/29/2025,Facebook
4/24/2025,Angi
3/25/2025,Text Campaign
4/19/2025,Text Campaign
3/7/2025,Text Campaign
3/25/2025,Text Campaign
4/18/2025,Text Campaign
4/22/2025,Facebook
4/9/2025,Text Campaign
4/7/2025,Google
4/21/2025,Angi
4/15/2025,Facebook
4/22/2025,Google
4/25/2025,Direct Mail
5/7/2025,Email
4/28/2025,Text Campaign
5/7/2025,Truck
3/29/2025,DM - MAPLE
4/24/2025,Google
3/3/2025,DM - BIRCH
4/28/2025,Text Campaign
4/29/2025,Google
4/25/2025,Truck
4/19/2025,Text Campaign
4/23/2025,Facebook
4/2/2025,Bing
3/17/2025,Direct Mail
4/26/2025,Email
4/21/2025,Facebook
4/20/2025,Text Campaign
4/9/2025,Text Campaign
4/15/2025,Email
4/16/2025,DM - WALNUT
5/2/2025,Facebook
4/5/2025,DM - 2 Free Apps QJ5K2P
3/11/2025,Direct Mail
4/28/2025,Text Campaign
4/14/2025,Referral
4/17/2025,Google
4/19/2025,Text Campaign
4/28/2025,Email
3/24/2025,Text Campaign
4/21/2025,Facebook
3/4/2025,Referral
3/12/2025,Direct Mail
4/29/2025,Text Campaign
4/28/2025,Facebook
3/31/2025,DM - 1st App 50% X9T4MZ
4/28/2025,Direct Mail
4/7/2025,Facebook
4/7/2025,Facebook
4/19/2025,Facebook
4/14/2025,DM - OAK
3/27/2025,Text Campaign
3/11/2025,DM - CHESTNUT
3/1/2025,DM - BIRCH
4/27/2025,Facebook
4/7/2025,Lawn Sign
3/24/2025,DM - BIRCH
4/17/2025,Text Campaign
4/28/2025,Text Campaign
4/2/2025,Google
2/19/2025,Email
4/22/2025,Email
4/8/2025,Text Campaign
4/25/2025,Facebook
4/28/2025,DM - MAPLE
4/25/2025,Text Campaign
4/12/2025,Text Campaign
3/27/2025,Text Campaign
4/11/2025,Facebook
4/17/2025,Google
4/21/2025,Facebook
2/24/2025,Direct Mail
4/24/2025,Facebook
4/14/2025,DM - OAK
2/27/2025,Email
5/13/2025,Facebook
4/4/2025,Google
4/7/2025,Facebook
4/12/2025,Facebook
4/15/2025,Email
4/13/2025,Facebook
4/28/2025,Facebook
3/20/2025,Google
4/28/2025,Text Campaign
3/27/2025,Text Campaign
4/18/2025,Facebook
4/9/2025,Google
